Groupe	Classement	Code aménagement (oui - si)	Numéro	Code formation	 Formation	 Filière	Nom	Prénom	Libelle groupe	Deuxième prénom	Troisième prénom	Civilité	Sexe	Date de naissance	Ville de naissance	Département de naissance	Pays de naissance	Nationalité	Boursier des lycées	Boursier	Boursier certifié	Nombre de parts ou échelon	ACB (Code)	Profil du candidat	Type établissement	Contrat établissement	UAI établissement	Libellé établissement	Commune établissement	Département établissement	Pays établissement	Téléphone établissement	Fax établissement	Niveau d'étude actuelle	Numéro INE	Numéro CEF	Type de formation	Série/Domaine/Filière	Classe	Option internationale	Dominante	Spécialité/Mention/Voie	LV 1 scolarité	LV 2 scolarité	LV 3 scolarité	Option 1	Option 2	Diplôme	Série diplôme	Dominante diplôme	Spécialité diplôme	Mention diplôme	Mois et année d'obtention du bac	Académie du bac	LV 1 Bac	LV 2 Bac	Option du bac	Diplôme étranger	Test de français	Niveau de français	Date test de français	Aménagement handicap	Date de validation	Candidature validée (O/N)	Sportif de haut niveau	Artiste de haut niveau	Date inscription	Date d'impression	Fiche imprimée (O/N)	Eligible à la politique de la ville	Fiche de réorientation	Année d'entrée en seconde	Dossier dématérialisé	Dossier papier
94495	891		871959	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	Mme	F	01/01/1950	La Roche-sur-Yon	85	France	FR	Non	Non boursier	Non			En Terminale	Lycée à classe postbac	Public	0170029P	Lycée Leonce Vieljeux	La Rochelle	17	France	toto	05.46.34.22.28	Terminale	TOTO		Terminale	S	TS 1		Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Anglais	Espagnol				Bac en préparation	Scientifique	Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Admis sans mention		Poitiers	Espagnol	Anglais	MEF National					Non	25/03/2018	Oui	Non	Non	25/02/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	1206		881072	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	Mainvilliers	28	France	FR	Non	Non boursier	Non			En Terminale	Lycée à classe postbac	Public	0281047L	Lycée Fulbert	Chartres	28	France	toto	02.37.35.79.94	Terminale	TOTO		Terminale	STMG	T11			Mercatique	Anglais	Espagnol				Bac en préparation	Sciences et Technologies du Management et de la Gestion		Mercatique	Admis sans mention		Orléans-Tours	Espagnol	Anglais	MEF National					Non	31/03/2018	Oui	Non	Non	11/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	619		141649	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	Mme	F	01/01/1950	Niort	79	France	FR	Oui	Boursier du secondaire	Certifié via SIECLE ou AGLAE	7	4	En Terminale	Lycée à classe postbac	Public	0790029C	Lycée Ernest Perochon	Parthenay	79	France	toto	05.49.71.08.01	Terminale	TOTO		Terminale	S	TS4		Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Anglais	Espagnol				Bac en préparation	Scientifique	Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Admis sans mention		Poitiers	Anglais	Espagnol	MEF National					Non	24/03/2018	Oui	Non	Non	10/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	545		305650	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	Mme	F	01/01/1950	Longjumeau	91	France	FR	Non	Non boursier	Non			En Terminale	Lycée à classe postbac	Public	0171455P	Lycée Marcel Dassault	Rochefort	17	France	toto	05.46.88.13.01	Terminale	TOTO		Terminale	S	TS2		Sciences de la Vie et de la Terre	Mathématiques	Anglais	Espagnol		Théâtre		Bac en préparation	Scientifique	Sciences de la Vie et de la Terre	Mathématiques	Admis sans mention		Poitiers	Anglais	Espagnol	MEF National					Non	29/03/2018	Oui	Non	Non	20/02/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	561		489361	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	Mme	F	01/01/1950	Issoire	63	France	FR	Non	Non boursier	Non		1	En Terminale	Lycée à classe postbac	Public	0630034V	Lycée Murat	Issoire	63	France	toto	04.73.89.63.30	Terminale	TOTO		Terminale	STMG	TSTMG1			Gestion et Finance	Anglais	Espagnol				Bac en préparation	Sciences et Technologies du Management et de la Gestion		Gestion et Finance	Admis sans mention		Clermont-Ferrand	Anglais	Espagnol	MEF National					Non	30/03/2018	Oui	Non	Non	24/02/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	240		222719	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	La Rochelle	17	France	FR	Non	Non boursier	Non			En Terminale	Lycée à classe postbac	Public	0171405K	Lycée des Métiers - Hotelier	La Rochelle	17	France	toto	05.46.44.95.43	Terminale	TOTO		Terminale	STHR	TSTHR C				Anglais	Espagnol				Bac en préparation	Science et Techniques de l'Hôtellerie et de la Restauration		Projet STHR en Sciences et Technologies des Services	Admis mention Bien		Poitiers	Anglais	Espagnol	MEF National					Non	27/03/2018	Oui	Non	Non	08/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	437		263665	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	Rochefort	17	France	FR	Non	Non boursier	Non			En Terminale	Lycée à classe postbac	Public	0170022G	Lycée Maurice Merleau-Ponty	Rochefort	17	France	toto	05.46.87.05.72	Terminale	TOTO		Terminale	STMG	TSTMG3			Mercatique	Anglais	Espagnol				Bac en préparation	Sciences et Technologies du Management et de la Gestion		Mercatique	Admis sans mention		Poitiers	Anglais	Espagnol	MEF National					Non	28/03/2018	Oui	Non	Non	12/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	888		472838	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	La Rochelle	17	France	FR	Non	Non boursier	Non		3	En Terminale	Lycée à classe postbac	Public	0170027M	Lycée René-Josué Valin	La Rochelle	17	France	toto	05.46.44.62.79	Terminale	TOTO		Terminale	S	T S4		Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Anglais	Espagnol				Bac en préparation	Scientifique	Sciences de la Vie et de la Terre	Sciences de la vie et de la terre	Admis sans mention		Poitiers	Anglais	Espagnol	MEF National					Non	31/03/2018	Oui	Non	Non	08/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	776		307832	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	La Rochelle	17	France	FR	Non	Non boursier	Non		5	En Terminale	Lycée à classe postbac	Public	0170028N	Lycée Jean Dautet	La Rochelle	17	France	toto	05.46.41.51.31	Terminale	TOTO		Terminale	STMG	T-STMG2			Mercatique	Anglais	Espagnol				Bac en préparation	Sciences et Technologies du Management et de la Gestion		Mercatique	Echec au bac		Poitiers	Anglais	Espagnol	MEF National					Non	31/03/2018	Oui	Non	Non	10/03/2018		Non	Non	Non renseignée	2015	Oui	Non
94495	1031		806193	3078	Licence - Droit-économie-gestion	Gestion - Gestion 	TOTO	TOTO	Tous les candidats	TOTO	TOTO	M.	M	01/01/1950	Lesparre-Médoc	33	France	FR	Non	Non boursier	Non		8	En Terminale	Lycée à classe postbac	Public	0170020E	Lycée Emile Combes	Pons	17	France	toto	05.46.96.18.94	Terminale	TOTO		Terminale	ES	TES			Sciences sociales et politiques	Anglais	Espagnol				Bac en préparation	Economique et social		Sciences sociales et politiques	Admis mention Assez Bien		Poitiers	Espagnol	Anglais	MEF National					Non	28/03/2018	Oui	Non	Non	06/03/2018		Non	Non	Non renseignée	2015	Oui	Non
